Headline,Body ID,Stance
audio record allegedly capture moment michael brown shot,1832,unrelated
kim jong un set open new restaurant scotland,1406,unrelated
new audio reveals pause gunfire michael brown shot attorney,1818,agree
num tripoli plane still miss spark num num concern,1958,agree
nypd issue ticket instead arrest weed possession report say,775,unrelated
india rape crisis see mob castrate allege sex attacker shock scene,2115,agree
michael phelps allege girlfriend say bear intersex,1849,unrelated
seth rogen report play woz upcoming steve job movie,1966,unrelated
texas plumber truck end syrian rebel video,2174,unrelated
nigeria announces truce boko haram fate schoolgirl unclear,992,unrelated
islamic state beheads miss american journalist james wright foley,2526,unrelated
scientist doubt meteor cause crater nicaragua,731,unrelated
christian bale talk play steve job sony next biopic,2097,unrelated
nigeria say boko haram cease fire may lead release kidnap girl,2045,unrelated
calm durex come pumpkin spice condom,1212,unrelated
islamic state fly three jet syria monitor,777,unrelated
j j abrams ask disney move star war force awakens release date,2084,discuss
kim jong un rely cobra wine problem trouser snake,213,unrelated
nigeria hop return kidnap schoolgirl rise ceasefire report,922,discuss
former u soldier say use chemical weapon kobani,1758,unrelated
north korean dictator kim jong un open restaurant scotland,2132,unrelated
eyewitness say viral video homeless man stag,1681,unrelated
new audio show michael brown shot num time,900,unrelated
meteorite strike nicaragua puzzle expert,40,unrelated
hunt cruel owner abandon dog train station,36,unrelated
meet police denies report banksy arrest,949,agree
video marine save helmet taliban sniper attack,488,agree
militant group say kill american journalist syria,2495,discuss
rare case seven bosnian girl age num num fall pregnant five day school trip parent outrage school cite parental neglect,821,unrelated
isi claim kidnap gill rosenberg first western woman fall group hand,1628,unrelated
tb speed seinfeld rerun tell u sorry state america,2237,unrelated
islamic state claim behead american journalist,1385,unrelated
boko haram ceasefire doubt attack report nigeria,1125,unrelated
u probe claim isi fighter seize airdropped weapon mean kurd,2448,unrelated
meteorite cause mysterious boom nicaragua,345,unrelated
michael zehaf bibeau slay ottawa shooter criminal record quebec b c,2087,unrelated
hope fade girl release boko haram truce breach,2463,discuss
isi crack five confirm ebola case among fighter official,2045,unrelated
nasa question whether crater nicaragua cause meteorite,1661,discuss
fear islamic state could launch ebola attack britain fighter contract virus,1899,unrelated
court order probe complaint force castration religious dera sect,1048,unrelated
saudi arabian cleric issue fatwa snowman,35,unrelated
actor testicle steal meeting young blonde woman bar,573,discuss
michael phelps allege girlfriend say bear intersex,618,unrelated
report possible audio tape michael brown shoot,321,unrelated
amazon plan ad support video stream service ny post,887,unrelated
cbi register criminal conspiracy case dera chief claim num male follower forcibly castrate,2336,discuss
shot hear allege brown shoot record audio,1818,discuss
arm u drone spot fly syria possible hunt isi leader,1509,discuss
oh hey paul rudd one dallas airport homophobe hero big,119,unrelated
tourist wake find strange red trail stomach discovers spider burrow appendix scar crawl skin holiday bali,2045,unrelated
isi video america air drop weapon hand,2168,discuss
vice ceo throw numk lavish vega dinner,1547,unrelated
glenn beck fear may do num miss jet,176,unrelated
two gop congressman say suspected terrorist catch cross u mexico border,855,discuss
hairgate iphone num user encounter latest apple problem bendgate,689,unrelated
banksy arrest giant hoax repeat hoax,2342,unrelated
judicial watch farrell isi terrorist cross mexican border,2132,unrelated
amazon com open first physical store manhattan dj,2477,unrelated
lynch mob castrate allege rapist rajasthan,2149,unrelated
vogue rat infestation disturb new detail,2064,agree
feminist abort baby boy shock people approve,1363,unrelated
return mac seth rogen talk star apple co founder steve wozniak upcoming steve job biopic,115,unrelated
advisory islamist rebel leader kill u strike somali government,313,disagree
islamic militant post video claim show behead u journalist,472,unrelated
video marine survive taliban sniper headshot thanks helmet,2046,agree
new io num bug delete icloud document,139,unrelated
wildest apple watch rumor yet num num apps launch,986,unrelated
sergeant arm stop shooter parliament hill,1568,unrelated
weather reporter catch write name snow ready go camera update,975,disagree
cheese addiction break kim jong un ankle,2210,unrelated
popwatch teenager fight right recognize teletubbies smile sun baby,2081,unrelated
isi crack five confirm ebola case among fighter official,1438,unrelated
medium outlet identify jihadi john,2531,unrelated
j j abrams ask disney move star war force awakens release date,808,unrelated
iphone game developer quit job hide greatest letter resignation ever inside game,125,unrelated
lego letter parent num gender equality still resonate num year,1547,agree
fidel castro death watch rumor heat cuba denies,1401,discuss
christian bale play steve job,687,unrelated
suspect meteorite leaf crater managua link asteroid,1627,unrelated
kim dine porky president kim jong un open uk restaurant serve dog,2290,unrelated
canadian soldier shot ottawa war memorial report,2307,unrelated
ate ceiling pooped keyboard rat take vogue new world trade center office anna wintour longer want work,320,unrelated
mexico prosecutor student numst mass graf,1948,unrelated
audio record allegedly capture moment michael brown shot,1720,unrelated
moscow police look felon cut male genitals,271,unrelated
lego letter nums still offer powerful message parent num year later,1169,unrelated
isi leader abu bakr al baghdadi wife son detain lebanon,254,unrelated
investigates medium report isi fighter contract ebola,1574,unrelated
rumor robert plant rip num million contract reunite lead zeppelin call rubbish,2133,unrelated
michelle obama face blur saudi state television,1242,unrelated
num kidnap nigerian girl release deal reach boko haram,2530,discuss
islamic state militant claim behead u journalist james wright foley,1982,unrelated
islamic state killer jihadi john name mohammed emwazi,1107,unrelated
brian williams demand apology social medium erroneous urination report video,775,unrelated
pentagon isi seize material airdropped kurd,1627,unrelated
new policy could reduce marijuana possession arrest,296,unrelated
nbc nightly news go live man take piss,1786,unrelated
espn domestic violence panel miss something important,1020,unrelated
boko haram denies agree ceasefire,381,unrelated
islamic state claim behead american journalist,2047,discuss
michael zehaf bibeau ottawa shooter suspect identify canadian official,2302,unrelated
audio recording michael brown gun make time kill app company appear confirm tape eleven bullet fire include final volley kill shot,844,unrelated
islamic state release video apparently show behead miss u journalist james foley,1471,discuss
kurd deny gill rosenberg kobane,1949,unrelated
tropical spider burrow man skin appendix scar live three day,214,unrelated
give homeless man num guy secretly film,2061,agree
cook say confirm apple watch showerproof last day,1985,unrelated
lynch mob chop man penis catch allegedly try rape teenager,1476,discuss
russian yeti bigfoot hoax new footage spark debate,1718,unrelated
tropical spider burrow bali tourist skin,2293,discuss
allege audio michael brown shoot surface,1104,unrelated
high school student score numm play stock market,1987,discuss
mexico say miss student find first mass graf,1419,unrelated
boko haram denies ceasefire claim nigeria government,1603,unrelated
british hostage david haines behead islamic state terrorist,2206,agree
allege ottawa gunman know far michael zehaf bibeau,1301,unrelated
see homeless man spend hundred dollar keep tissue handy video,467,unrelated
l jinny abdel majed abdel bary uk rapper suspect james foley kill report,2045,unrelated
ottawa shoot soldier shoot canada national war memorial,2269,unrelated
woman ting su find husband cheat twin get spectacular revenge,1058,agree
north korean leader kim jong un miss ankle surgery,1081,discuss
seth rogen reportedly nabs steve wozniak role steve job filmsteve job iconic moment,1355,unrelated
police hunt tweed jacket wear man slap shopper sneeze,678,unrelated
meteorite leaf house size crater nicaragua capital,971,unrelated
vogue new office rat infestation,639,unrelated
meteorite leave crater nicaraguan capital managua,1795,unrelated
james foley remember brave tireless journalist,874,unrelated
homeless man receive num shock everyone spends,2492,unrelated
report big bank hank pioneer rap group sugarhill gang die,2398,discuss
islamic state use scorpion bomb terrorise victim,1720,unrelated
kim jong un fat eat cheese broken ankle,2327,unrelated
first bendgate hairgate angry iphone num owner claim design cause chunk hair rip make phone call,403,unrelated
vice medium chief say pay num num dinner num,2130,discuss
isi get ebola,720,unrelated
tropical spider burrow man skin appendix scar live three day,1602,discuss
apple watch may power samsung processor,1658,unrelated
saudi tv blur image michelle obama,1786,unrelated
north korean leader kim jong un mystery illness actually two broken ankle newspaper say,1081,discuss
boyfriend cut penis throw bin girlfriend dump bad bed,908,unrelated
jeh johnson politician fee flame fear isi ebola,666,agree
zack snyder make fun steal batmobile rumor new image,734,unrelated
video message service verifies time cnn audio recording,1299,unrelated
american bombing sign death certificate miss u journalist james wright foley go unflinching death isi behead horrific video warn obama,1093,discuss
num kidnap nigerian girl release deal reach boko haram,1603,unrelated
despite ceasefire announcement new boko haram attack report,1541,unrelated
apple talk become launch partner cable free hbo service,2306,unrelated
boko haram ceasefire doubt attack report nigeria,1372,unrelated
passenger wear hazmat suit dulles airport,2489,unrelated
eggnog chug contest lead hospital stay,2509,unrelated
woman spend entire week kfc get dump boyfriend,1805,unrelated
taliban member swap obama bowe bergdahl try return terror report,972,unrelated
obama murder james foley shock conscience entire world,2127,unrelated
ebola infect isi militant mosul,1778,discuss
watch isi claim capture u airdropped weapon,1586,unrelated
isi beheads photojournalist james wright foley massage u end intervention iraq,1580,agree
christian bale play steve job,2455,discuss
thanks uncle sam weapon airdrop isi taunt america intercept weapon meant kurd,125,unrelated
video purport show behead u journalist militant,2453,unrelated
num islamist militant kill u attack somalia,511,unrelated
letter parent nums lego set contains important message gender equality,1726,unrelated
official refute iraqi medium report isi member contract ebola mosul,2177,unrelated
islamic state training pilot military jet monitor say,1115,discuss
could kim jong un open restaurant scotland,773,unrelated
cheeky vandal paint giant penis bonnet num num million bugatti veyron sportscar,2252,unrelated
nasa question whether crater nicaragua cause meteorite,524,unrelated
expert cast doubt bunbury man dylan thomas burrow stomach spider story,1864,discuss
soldier shot ottawa war memorial,1988,unrelated
macaulay culkin dead actor victim another death hoax,2022,unrelated
batman v superman batmobile steal,1528,discuss
comcast get man fire job complain service,1338,unrelated
video show isil behead photojournalist james foley,694,discuss
isi claim u airdrop weapon,1648,unrelated
boko haram ceasefire nigeria ceasefire,1125,unrelated
l jinny abdel majed abdel bary uk rapper suspect james foley kill report,2156,unrelated
comcast block tor,1403,disagree
elderly woman arrest kidnap neighbor cat make fur coat,1034,unrelated
james foley american journalist james wright foley behead new isi video break news,139,unrelated
staff reporter,707,discuss
lebanon detain wife son al baghdadi,2337,disagree
report isi fighter contract ebola incorrect say iraqi health ministry,2025,discuss
kim jong un break ankle hospitalize report claim,1854,discuss
new io num bug delete icloud document,2054,discuss
texas turkey farm contaminate ebola num num holiday turkey infect,186,unrelated
apple watch debut late march report,670,unrelated
robot security guard patrol microsoft silicon valley campus,2288,unrelated
dylan thomas find tropical spider burrow skin,2175,unrelated
rat vogue nyc office watch step anna wintour,2033,unrelated
boko haram denies agree ceasefire,2403,discuss
want man respond police facebook post would turn,1693,unrelated
video purport show behead u journalist militant,1471,discuss
aaron sorkin confirm christian bale play steve job,2097,unrelated
isi unleash scorpion bomb iraq,185,unrelated
spider burrow australian man appendix scar video,1321,disagree
michael phelps allege girlfriend say bear intersex,645,unrelated
isil beheads american photojournalist iraq,139,unrelated
kim yo jong kim jong un sister take control north korea brother get treatment,465,unrelated
despite ebola case kansa city rumor go viral,1943,agree
reset setting io num unless want lose icloud file,1155,unrelated
soldier shot ottawa war memorial,2269,unrelated
rumor gold apple watch edition price num num steel version num debut feb num,731,unrelated
pumpkin spice condom figment gross imagination,698,unrelated
canadian woman capture isi syria say actually fine still fight jihadist despite kidnap report,513,unrelated
num kidnap nigerian girl release deal reach boko haram,1883,unrelated
woman wrongly call sexual predator private sex tape use hoax,1734,unrelated
jihadi john unmasked islamic state killer name west londoner mohammed emwazi,1780,discuss
pumpkin spice condom could thing save world basic child,1400,discuss
north korean leader kim jong un ankle surgery report say,1349,unrelated
bunbury local discover spider burrow skin bali holiday,859,unrelated
banksy arrest sigh,1020,unrelated
dna test prove lebanon hold isi chief al baghdadi ex wife daughter catch fake passport,1004,discuss
cnn air allege audio michael brown shoot,1605,discuss
guru order num follower castrate could closer god investigate grievous bodily harm india,1011,unrelated
guantanamo detainee free bowe bergdahl swap back terrorism,472,unrelated
ubs survey find num consumer want smartwatch expect numm apple watch sale fiscal num,568,unrelated
man penis cut angry mob attempt rape teenager,36,unrelated
bugatti veyron vandalize penis graffiti viral photo seem,1148,agree
kim sister take north korea dictator fail show key communist event send nice flower basket instead,81,unrelated
north korea leader kim jong un still charge source,1580,unrelated
former pga tour player tiger wood suspend drug test failure,43,unrelated
net extra back dead catholic priest claim god female,2492,unrelated
isi fed murder kidnap victim mother travel headquarters demand see,2352,unrelated
picture libyan islamist rebel pose plane seize tripoli airport u official warn could use carry terrorist attack num num anniversary,1489,unrelated
allege audio michael brown shoot release,776,unrelated
boyfriend cut penis throw bin girlfriend dump bad bed,831,unrelated
man skip work num year finally fire,1951,agree
big bank hank sugarhill gang dead num,1458,unrelated
isi claim behead u journalist,1347,unrelated
michael phelps allege girlfriend say bear intersex,1349,agree
nigerian doubtful girl release boko haram truce breach,1821,discuss
islamic state video title message america beheads american journalist james wright foley kidnap num,826,unrelated
viral video homeless man spending num food homeless fake witness say,344,unrelated
kim jong un ban name kim jong un,1034,unrelated
scientist doubt meteor cause crater nicaragua,2475,agree
fence jumper make deeper white house secret service claim,887,unrelated
boko haram deny truce release kidnap schoolgirl,171,unrelated
journalist james wright foley reportedly behead isi,984,unrelated
saudi cleric condemns snowman anti islamic,1950,unrelated
islamic state may fighter jet seize russian make migs,487,unrelated
absent duty num year cpwd official dismiss,1242,unrelated
meteorite impact nicaragua weekend,373,unrelated
meteorite strike nicaragua puzzle expert,715,discuss
fear journalist james wright foley behead islamic state jihadist message united state,2287,unrelated
zack snyder make fun steal batmobile rumor new image,964,unrelated
small red book among find num year old boston time capsule,690,unrelated
kurd fear isi use chemical weapon kobani,1253,unrelated
new audio show michael brown shot num time,1569,unrelated
dhs rebuff congressman claim isi infiltrate southern border,2367,disagree
luke somers kill fail rescue attempt yemen,298,unrelated
anna wintour rat infestation nyc vogue office kim kardashian fault,1737,unrelated
ebola case iraq,2003,discuss
urgent isi kill num iraqi soldier chlorine gas attack saqlawiyah,969,agree
letter parent nums lego set contains important message gender equality,311,unrelated
ferguson riot audio may capture michael brown shoot,1803,unrelated
isi claim american hostage kayla mueller die airstrike syria,2260,unrelated
paul rudd help tackle dallas airport gay basher,1844,unrelated
nbc meteorologist mike seidel pee snow camera testy brian williams explains,1968,discuss
canadian soldier shot ottawa war memorial report,373,unrelated
isi extremist claim behead british hostage david haines,1528,unrelated
boko haram agree ceasefire release school girl,2356,discuss
lead zeppelin robert plant rip num million reunion contract,2223,unrelated
teletubbies sun baby fan freak jess smith num,1009,unrelated
nigeria boko haram reach ceasefire deal kidnap girl go free official say,1439,unrelated
boko haram deny cease fire leader say married kidnap girl,2096,unrelated
north korea leader kim still charge injured leg source,1933,unrelated
report num isi terrorist catch southern border num hr,570,unrelated
rumor gold apple watch edition price num num steel version num debut feb num,2188,discuss
isi reportedly behead u journalist james wright foley camera,2287,unrelated
miss plane,1958,discuss
islamic state militant claim behead miss american journalist,1372,unrelated
isi militant allegedly contract ebola,1905,unrelated
boko haram ceasefire ignore violence flare borno state,2139,disagree
report miss libyan jetliner raise fear suicide airliner attack num num,1699,unrelated
batman set play steve job upcoming biopic,1846,disagree
tropical spider burrow man skin scar video report,1888,unrelated
isi get ebola,1013,unrelated
obama denounces jam foley execution today entire world appal,1547,unrelated
report allege new audio michael brown shoot,2235,discuss
apple watch feature time power reserve mode prototype disguise samsung watch,2423,unrelated
video show american journalist behead believed real official family say,2388,discuss
report former baseball star jose canseco accidentally shoot home,2078,unrelated
luke somers kill fail rescue attempt yemen,401,unrelated
nicaragua meteorite impact theory may meteor wrong,1627,unrelated
high school kid make num million trading stock,2407,agree
isil video claim behead kidnap journalist james foley,2304,unrelated
tiger wood serve secret ped suspension,757,discuss
pentagon confirms al shabab leader kill airstrike somalia,1084,agree
picture libyan islamist rebel pose plane seize tripoli airport u official warn could use carry terrorist attack num num anniversary,1958,agree
christian bale talk play steve job sony danny boyle,1702,unrelated
rumor isis cross border u go away,108,discuss
nicaragua meteorite expert attempt understand whether mysterious meteorite fell pass pitbull asteroid,2154,discuss
cook say confirm apple watch showerproof last day,121,unrelated
mum offer sell twin boy save twin girl,1627,agree
mcdonald remove big mac apple pie eliminate large size option,776,unrelated
cold turkey,1949,agree
found father era time capsule find boston,2061,unrelated
isi appear behead american photojournalist youtube video,1261,unrelated
break news british bear u photojournalist hold hostage al qaeda kill fail rescue attempt yemen,913,unrelated
may able make appointment apple store try apple watch launch,2056,discuss
soldier shot war memorial multiple shot fire parliament,2156,agree
mass graf find mexico near place num student go miss,366,discuss
whiz kid stock picker actually make numm trading,313,unrelated
isi video claim show behead british hostage david haines,1301,unrelated
soldier shot near canadian parliament building,1574,unrelated
isi leader dead,1631,unrelated
sick kansa city man say ebola u plan new step fight virus,1358,unrelated
british rapper suspect isi beheading,975,unrelated
jose canseco shoot self hand,2000,discuss
new policy could reduce marijuana possession arrest,687,unrelated
eyewitness say viral video homeless man stag,1934,unrelated
soap opera star reportedly testicles steal attractive blonde organ trafficker,1015,unrelated
seth rogen star steve wozniak sony steve job biopic update,1795,unrelated
allege audio gunshot kill michael brown hoax,2313,unrelated
seth rogen play woz job biopic,646,unrelated
isi crack five confirm ebola case among fighter official,527,unrelated
rat vogue nyc office watch step anna wintour,1933,unrelated
mum face real life sophie choice try sell son fund daughter care,1776,unrelated
islamic state report youngest jihadist martyr battle,847,unrelated
teletubbies sun baby fan freak jess smith num,2081,unrelated
report boko haram may release schoolgirl part deal,1697,unrelated
report christian bale play steve job,1658,unrelated
islamic state leader family detain lebanon official say,2268,discuss
hilarious north dakota pay special tribute president obama,265,unrelated
isi fed murder kidnap victim mother travel headquarters demand see,730,unrelated
senior western intelligence official confirms london rapper abdel majed abdel bary suspect foley kill,1314,discuss
apple may launch num inch macbook air retina display,1234,unrelated
bali spider burrow aussie chest,986,disagree
confusion cuba castro mourn instead kenya fidel,2377,unrelated
apple num inch retina macbook air show artist rendition,1362,discuss
nun give birth intend keep baby,534,discuss
pentagon somali terror group leader kill u airstrike,2374,discuss
news never guess homeless man spend num watch touch video,467,unrelated
selfless homeless man receive num spend dime,1948,unrelated
expert fact need purported audio recording michael brown shoot,2141,unrelated
bird poop vladimir putin,720,unrelated
microsoft turn robotic security guard watch trouble,2306,unrelated
amazon com open first physical store manhattan dj,568,unrelated
iraqi medium isi militant contract ebola,2138,discuss
crazy iphone rig show chinese worker manipulate app store ranking,2421,unrelated
everyone chill banksy arrest,2412,unrelated
miss american journalist reportedly behead islamic state,984,unrelated
update soldier gunman die ottawa rampage identify,419,unrelated
macaulay culkin dead,2341,discuss
report audio reveals pause gunshot michael brown shot,1803,unrelated
boko haram ceasefire doubt attack report nigeria,1540,disagree
insurgent kill nigeria despite allege truce boko haram,1372,unrelated
isi executioner jihadi john identify mohammed emwazi,1374,agree
saddam hussein pilot train islamic state group,487,unrelated
wfb bill gertz obama administration try play miss libyan airliner,723,unrelated
palestine accuse israel open dam flood gaza forcing evacuation,993,unrelated
give homeless man num see video,1681,unrelated
nigeria claim boko haram release kidnap schoolgirl,2356,discuss
turkish leader say u airdrop aid isi militant,1572,unrelated
cnn post allege audio michael brown shoot,1818,discuss
hospital official kansas city patient treat ebola,707,unrelated
isi claim intercept supply u airdrop,1597,discuss
nigeria announces truce boko haram fate schoolgirl unclear,2192,unrelated
catholic priest claim god female clinically dead experience,2520,unrelated
seth rogen play steve wozniak steve job biopic,646,unrelated
james foley killer jihadi john believe former london rapper abdel majed abdel bary,8,unrelated
tiger wood suspension fail drug test agent pga official say,173,unrelated
bih seven primary school student pregnant five day excursion,1221,unrelated
meet num year old make num million high school lunch break,2220,unrelated
apple watch launch expect late march,2273,discuss
calm durex come pumpkin spice condom,788,unrelated
isi claim u airdrop weapon,1347,unrelated
nigeria hop return kidnap schoolgirl rise ceasefire report,2463,discuss
report isi kidnaps canadian israeli former idf soldier go fight kurd,2147,unrelated
meteorite leave crater nicaraguan capital managua,1825,discuss
guantanamo detainee free bowe bergdahl swap back terrorism,2254,unrelated
texas city plumber truck end syrian war,1299,unrelated
ebola infect isi militant mosul,2299,unrelated
batmobile steal detroit,61,unrelated
apple watch mass production kick january report,2116,unrelated
canadian israeli woman may capture syria report,1223,unrelated
u probe claim isi fighter seize airdropped weapon mean kurd,693,unrelated
wfb bill gertz obama administration try play miss libyan airliner,1681,unrelated
macaulay culkin dead death hoax child actor,1423,unrelated
kim jong ill analyst say num year old sister kim yo jong may run north korea video,1029,unrelated
michael zehaf bibeau ottawa shooter suspect identify canadian official,1739,unrelated
gop rep least ten isi fighter catch come across mexican border,416,discuss
spiderman squish perth expert debunk spider burrowing claim,2293,discuss
god woman resurrect father narated,1849,agree
photo gallery amaze num operation north walsham vet constipate goldfish,2192,unrelated
boko haram could release kidnap girl nigerian official say,922,discuss
sorry kfc go sell weed colorado restaurant,527,unrelated
matt taibbi leave absence first look medium,879,agree
isi fighter get catch come across u mexican border,539,unrelated
unverified video show behead aid worker david haines,1477,unrelated
dump woman spend week kfc get ex,1266,unrelated
man cut manhood throw bin girlfriend leave small penis,908,unrelated
wtc rat scare anna wintour,367,unrelated
managua explosion meteorite nasa suggests,1213,agree
spider burrow man skin live day,2338,discuss
parliament hill shoot sergeant arm kevin vickers family hero take ottawa gunman,2410,unrelated
kim jong un absence sister may rule,490,unrelated
yemen say u man free sister say dead,1256,unrelated
islamic state use scorpion bomb terrorise victim,1385,unrelated
al shabab leader order kenya mall massacre believe kill u drone attack somalia,1349,unrelated
confusion surround capture isi leader wife,530,unrelated
rat eat prada vogue ny office,1435,unrelated
one homeless man num astonish video,2305,agree
parliament hill shoot sergeant arm kevin vickers family hero take ottawa gunman,1002,unrelated
spider probably crawl man body several day,1860,disagree
isi tell mother rescue mission eat son,2313,unrelated
woman detain lebanon al baghdadi wife iraq say,986,unrelated
aaron sorkin confirm christian bale play steve job,1217,discuss
north korean leader kim jong un open restaurant scotland,2225,disagree
break udpated isi reportedly use chemical weapon kobane,639,unrelated
num tripoli plane still miss spark num num concern,1575,unrelated
hard evidence isi claim kidnap canadian israeli woman gill rosenberg,214,unrelated
pant fire duncan hunter make unconfirmed claim border patrol catch least num isi fighter,2141,unrelated
north korea order citizen name kim jong un change name say new report,520,unrelated
medium fool story claim num num girl school trip come home pregnant,1408,unrelated
apple medium event rumor late february apple watch num macbook air likely topic update,472,unrelated
comfort eat chinese woman num spends entire week kfc dump boyfriend,1461,unrelated
proof bigfoot new yeti video show giant hairy beast walking forest,2377,discuss
isi beheads american journalist,7,unrelated
allege audio michael brown shoot release,1628,unrelated
wayward sister nun wiser baby,699,unrelated
apple may launch num inch macbook air retina display,2509,unrelated
north korea denies report kim jong un open state back restaurant scotland,1339,unrelated
islamist terrorist jabhat ansar al deen tweet picture texas plumber truck fit anti aircraft gun syria,2344,unrelated
